source_asin,source,listing_url,product_type,relevance_score,competitor_type,product_form,material,material_evidence,detail_material,detail_evidence,pack_count,closure,style,use_case,feature_tags,asin,parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_address,is_fba,variation_count,listing_date,bsr_category,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
B0FN8HSZHC,seed,https://www.amazon.com/dp/B0FN8HSZHC,STORAGE BOX,100,seed,extra-large storage box,plastic,detail:plastic,plastic,detail:plastic,2,lid,clear/minimal,unknown,extra large,B0FN8HSZHC,B0FN8HSZHC,"CNEIESD 2 Count 160 Quart Wheeled Stacker, Extra Large Durable Clear Bin, Box with Latch Lid and Pull Handle | Extra Large, Durable Clear Bin, Latch Lid, Pull Handle",CNEIESD,52.85,600.0,45.0,4.1,US,False,0.0,,Storage Boxes / 24086069011 / 71,https://m.media-amazon.com/images/I/41eImyLS7WL.jpg,,,,,,,
B0FN8HSZHC,keyword,https://www.amazon.com/dp/B001RCUNJ8,STORAGE BOX,70.6,direct,combo storage box,plastic,detail:plastic,plastic,detail:plastic,6,lid,clear/minimal,general kitchen storage,,B001RCUNJ8,B0GWLHZW4T,"Sterilite 70 Qt Ultra™ Latch Box, Durable Clear Storage Bin w/ Lid, 6 Pack",Sterilite,67.99,4000.0,13069.0,4.5,US,False,15.0,,Home Storage & Organization (Home & Kitchen) / 3610841 / 428,https://m.media-amazon.com/images/I/61qM-CBSuwL.jpg,research/B0FN8HSZHC/images/02_B001RCUNJ8.jpg,,,,,,
B0FN8HSZHC,keyword,https://www.amazon.com/dp/B0H9QRQZ7X,LAUNDRY HAMPER,68.1,direct,extra-large laundry hamper,plastic,detail:plastic,plastic,detail:plastic,1,lid,clear/minimal,general kitchen storage,extra large,B0H9QRQZ7X,B0H9QRQZ7X,"160 Quart Extra-Large Wheeled Storage Bin, Clear Storage Container with Latch Lid and Pull Handle, Durable, Dark Gray",DIPLERY,25.88,0.0,0.0,0.0,CN,False,0.0,,Laundry Baskets / 3744381 / 412,https://m.media-amazon.com/images/I/616McWNWT+L.jpg,research/B0FN8HSZHC/images/03_B0H9QRQZ7X.jpg,,,,,,
B0FN8HSZHC,keyword,https://www.amazon.com/dp/B0FPRFFNH6,STORAGE BOX,63.5,direct,extra-large storage box,plastic,title:plastic; detail:plastic,plastic,title:plastic; detail:plastic,1,unknown,unknown,general kitchen storage,extra large,B0FPRFFNH6,B0G1KJT88T,"COKELARIA Extra Large Storage Bin, 40 Gallon Wheeled Plastic Storage Container with Handle, Green, Pack of 2 (GREEN)",COKELARIA,49.99,500.0,96.0,4.6,US,False,7.0,,Lidded Home Storage Bins / 2422434011 / 72,https://m.media-amazon.com/images/I/61HccajUUiL.jpg,research/B0FN8HSZHC/images/04_B0FPRFFNH6.jpg,,,,,,
B0FN8HSZHC,keyword,https://www.amazon.com/dp/B0H2DG29N4,STORAGE BOX,62.8,direct,combo storage box,plastic,title:plastic; detail:plastic,plastic,title:plastic; detail:plastic,1,lid,clear/minimal,general kitchen storage,extra large,B0H2DG29N4,B0H2DG29N4,"Extra Large Clear Wheeled Storage Bin, 40 Gallon, Plastic Container with Latch Lid and Pull Handle for Closet, Garage, Office",Generic,23.95,200.0,16.0,4.6,CN,False,0.0,,Open Home Storage Bins / 2422435011 / 210,https://m.media-amazon.com/images/I/61IHJA-LIjL.jpg,research/B0FN8HSZHC/images/05_B0H2DG29N4.jpg,,,,,,
B0FN8HSZHC,keyword,https://www.amazon.com/dp/B0GPS742LV,STORAGE BOX,55.1,keyword,storage box,plastic,detail:plastic,plastic,detail:plastic,6,lid,unknown,general kitchen storage,,B0GPS742LV,B0GY1KVFFQ,"IRIS USA 6-Pack 32.5 Quart Clip Box with Latching Lid | Latching lid secures office and household supplies. Stackable, nestable design maximizes storage space",IRIS USA,51.99,2000.0,26282.0,4.4,,True,15.0,,Lidded Home Storage Bins / 2422434011 / 6,https://m.media-amazon.com/images/I/71intD+ZG8L.jpg,research/B0FN8HSZHC/images/06_B0GPS742LV.jpg,,,,,,
B0FN8HSZHC,keyword,https://www.amazon.com/dp/B0BVQ69QJD,STORAGE BOX,55.1,keyword,storage box,plastic,detail:plastic,plastic,detail:plastic,6,lid,clear/minimal,general kitchen storage,,B0BVQ69QJD,B0C27DKHXY,"WYT Clear Storage Latch Bins, 6-Pack Storage Organizer Box with Handle and Lids, 5-Litre",WYT,24.99,0.0,2751.0,4.2,CN,True,4.0,,Lidded Home Storage Bins / 2422434011 / 24,https://m.media-amazon.com/images/I/61LKoDxQahL.jpg,research/B0FN8HSZHC/images/07_B0BVQ69QJD.jpg,,,,,,
B0FN8HSZHC,keyword,https://www.amazon.com/dp/B0H9NNYQQ4,STORAGE BOX,49.8,keyword,storage box,plastic,title:plastic; detail:plastic,plastic,title:plastic; detail:plastic,1,lid,clear/minimal,general kitchen storage,,B0H9NNYQQ4,B0H9NNYQQ4,"105 Quart Latch Box, Clear Plastic Storage Bin with Clear Lid, Blue",Generic,29.9,50.0,0.0,0.0,CN,False,0.0,,Storage Boxes / 24086069011 / 286,https://m.media-amazon.com/images/I/81nda5JyNKL.jpg,research/B0FN8HSZHC/images/08_B0H9NNYQQ4.jpg,,,,,,
B0FN8HSZHC,keyword/category,https://www.amazon.com/dp/B002BA5F4I,STORAGE BOX,46.7,keyword,storage box,plastic,title:plastic; detail:plastic,plastic,title:plastic; detail:plastic,6,unknown,clear/minimal,general kitchen storage,,B002BA5F4I,B0GBYKZBBY,"Sterilite Storage Box, Stackable Clear Plastic Bins, 41 Quart, 6-Pack",Sterilite,71.69,300.0,14306.0,4.6,US,False,36.0,,Lidded Home Storage Bins / 2422434011 / 6,https://m.media-amazon.com/images/I/61havBdWyGL.jpg,,,,,,,
B0FN8HSZHC,keyword,https://www.amazon.com/dp/B0H842VW5P,STORAGE BOX,46.3,keyword,extra-large storage box,plastic,title:plastic; detail:plastic,plastic,title:plastic; detail:plastic,1,unknown,clear/minimal,general kitchen storage,extra large,B0H842VW5P,B0H854D3VN,"40-Gallon Wheeled Storage Box, Extra Large Durable Clear Plastic Bin(1Pack)",Generic,25.89,50.0,3.0,5.0,CN,False,8.0,,Storage Boxes / 24086069011 / 319,https://m.media-amazon.com/images/I/71FbBQlXktL._AC_SL1500_.jpg,research/B0FN8HSZHC/images/10_B0H842VW5P.jpg,,,,,,
